efx_company,efx_address,efx_state,efx_city,client_uid,client_company,client_address,client_state,client_city,dist_levens_name,upper_match_name,dist_levens_address,upper_match_address,upper_match_state,upper_match_city,similarity_index,rn,legultnameall,legultnumall,legultstateall,legultcityall,efx_legultzipcodeall,address_string,extract_month,location_cnt,location_ids,location_active_cnt,location_inactive_cnt,location_inactiveold_cnt,location_inactivedt_cnt,deadmon_array,lat_array,lon_array,location_latitude_avg,location_longitude_avg,location_soho_cnt,location_biz_cnt,location_res_cnt,location_small_cnt,location_large_cnt,location_unknown_size_cnt,location_gov_cnt,location_fedgov_cnt,location_nonprofitind_cnt,location_edu_cnt,min_year_est,max_year_est,year_est_array,location_indsole_cnt,location_partner_cnt,location_limpartner_cnt,location_corp_cnt,location_scorp_cnt,location_llc_cnt,location_llp_cnt,location_other_cnt,location_ccorp_cnt,location_nonprofitstat_cnt,location_mutual_cnt,location_trust_cnt,location_lllp_cnt,bankrupt_cnt_failrt,bankrupt_cnt_credcls,bankrupt_cnt_field,failrate_avg,failrate_array,corpemployees,corpamount,corpamount_type,corpamount_prec,creditscore_avg,creditscore_max,creditscore_min,creditscore_array,creditperc_avg,creditperc_max,creditperc_min,creditperc_array,mkt_telscore_avg,mkt_telscore_max,mkt_telscore_min,mkt_telscore_array,mkt_totalscore_avg,mkt_totalscore_max,mkt_totalscore_min,mkt_totalscore_array,primsic,secsic1,secsic2,secsic3,secsic4,primnaicscode,secnaics1,secnaics2,secnaics3,secnaics4,months_since_update,legultnameall.1,afflultnameall,ticker,website,legultnumall.1,afflultnumall,franchise,legname_occ,afflname_occ,dead_month,row_num
DIEGOS,217 COLFAX AVE GRASS VALLEY CA 95945,CA,GRASS VALLEY,p1_mer_62ffee9dcc4b001fd54c8ce,DIEGOSRESTAURANT INC,217 COLFAX AVE GRASS VALLEY CA 95945,CA,GRASS VALLEY,14,0,0,10,10,10,16,1,DIEGOS,19214795,CA,GRASS VALLEY,95945,217 COLFAX AVE GRASS VALLEY CA 95945,2024/02/01,1,[19214795],1,0,0,0,[null],[39.21581],[-121.05845],39.21581,-121.05845,0,1,0,1,0,0,0,0,0,0,2003.0,2003.0,[2003],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,[6],21,251,Corporate Sales,MDL,403.0,403.0,403.0,[403],26.0,26.0,26.0,[26],5.0,5,5,[5],5.0,5,5,[5],5812.0,5800.0,7299.0,,,722511.0,722000.0,722320.0,812990.0,,1.0,DIEGOS,DIEGOS,,diegosrestaurant.com,19214795,19214795,,7,7,,1
NSA OP LP,9530 DAWNADELE AVE BATON ROUGE LA 70809,LA,BATON ROUGE,p1_mer_6265cef038466baee8560d3,NSA OP LP,9530 DAWNADALE AVE BATON ROUGE LA 70809,LA,BATON ROUGE,0,10,1,0,10,10,29,1,NSA OP LP,148745769,LA,BATON ROUGE,70809,9530 DAWNADELE AVE BATON ROUGE LA 70809,2024/02/01,1,[148745769],1,0,0,0,[null],[30.42183],[-91.07805],30.42183,-91.07805,0,1,0,0,0,1,0,0,0,0,2018.0,2018.0,[2018],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,[null],0,0,,,470.0,470.0,470.0,[470],43.0,43.0,43.0,[43],0.0,0,0,[0],0.0,0,0,[0],4225.0,4226.0,4493.0,,,493110.0,,,,,8.0,NSA OP LP,NSA OP LP,,www.moveitstorage.com,148745769,148745769,,1,1,,1
LANE TREE GOLF CLUB,2317 SALEM CHURCH RD GOLDSBORO NC 27530,NC,GOLDSBORO,p1_mer_606f57f613600328ada9c56,LANE TREE GOLF CLUB,2317 SALEM CHURCH ROAD GOLDSBORO NC 27530,NC,GOLDSBORO ,0,10,2,0,10,0,18,1,LANE TREE GOLF CLUB,107396969,NC,GOLDSBORO,27530,2317 SALEM CHURCH RD GOLDSBORO NC 27530,2023/05/01,1,[107396969],1,0,0,0,[null],[35.42874],[-77.99671],35.42874,-77.99671,0,1,0,1,0,0,0,0,0,0,1992.0,1992.0,[1992],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,[4],4,295,Corporate Sales,MDL,468.0,468.0,468.0,[468],42.0,42.0,42.0,[42],5.0,5,5,[5],5.0,5,5,[5],5812.0,5999.0,7299.0,7997.0,1542.0,713910.0,236220.0,459999.0,,,3.0,LANE TREE GOLF CLUB-CONFERENCE,LANE TREE GOLF CLUB-CONFERENCE,,,107396969,107396969,,2,2,,1
MASTER MINI,14122 HIRSCHFIELD RD TOMBALL TX 77377,TX,TOMBALL,p1_mer_6514a1ea05eecf300a29aac,MDHI TOMBALL LLC,14122 HIRSCHFIELD RD TOMBALL TX 77377,TX,TOMBALL,14,0,0,10,10,10,16,1,MASTER MINI,11237802,TX,TOMBALL,77377,14122 HIRSCHFIELD RD TOMBALL TX 77377,2023/09/01,1,[11237802],1,0,0,0,[null],[30.0816],[-95.63654],30.0816,-95.63654,0,1,0,1,0,0,0,0,0,0,1993.0,1993.0,[1993],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.0,[7],2,471,Corporate Sales,MDL,473.0,473.0,473.0,[473],44.0,44.0,44.0,[44],5.0,5,5,[5],5.0,5,5,[5],4225.0,7389.0,4214.0,4212.0,4226.0,531130.0,493110.0,493190.0,,,0.0,MASTER MINI,MASTER MINI,,masterministoragetomball.com,11237802,11237802,,2,2,,1
ROCHESTER CIVIC THEATRE,30 CIVIC CENTER DR SE ROCHESTER MN 55904,MN,ROCHESTER,p1_mer_60ef267782e480aef8d13fc,ROCHESTER CIVIC THEATRE,30 CIVIC CENTER DRIVE ROCHESTER MN 55904,MN,ROCHESTER,0,10,2,0,10,10,28,1,ROCHESTER CIVIC THEATRE,7132530,MN,ROCHESTER,55904,30 CIVIC CENTER DR SE ROCHESTER MN 55904,2021/07/01,1,[7132530],1,0,0,0,[null],[44.02326],[-92.45992],44.02326,-92.45992,0,1,0,1,0,0,0,0,0,0,2001.0,2001.0,[2001],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,[6],9,1496,Corporate Sales,MDL,519.0,519.0,519.0,[519],84.0,84.0,84.0,[84],5.0,5,5,[5],5.0,5,5,[5],7922.0,6512.0,7311.0,5812.0,7313.0,711410.0,531120.0,813410.0,711110.0,512290.0,,ROCHESTER CIVIC THEATRE,ROCHESTER CIVIC THEATRE,,rochestercivictheatre.org,7132530,7132530,,2,2,,1
HEART OF THE CIVIL WAR HERITAGE AREA,22 S MARKET ST STE 15 FREDERICK MD 21701,MD,FREDERICK,p1_mer_6164845d4a4205f0714fcbd,HEART OF THE CIVIL WAR HERITAGE AREA,22 S MARKET ST SUITE 215 FREDERICK MD 21701,MD,FREDERICK,0,10,3,0,10,10,27,1,HEART OF THE CIVIL WAR HERITAGE AREA,113958729,MD,FREDERICK,21701,22 S MARKET ST STE 15 FREDERICK MD 21701,2024/02/01,1,[113958729],1,0,0,0,[null],[39.41334],[-77.41092],39.41334,-77.41092,0,1,0,1,0,0,0,0,0,0,2013.0,2013.0,[2013],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,[7],15,279,Corporate Sales,MDL,440.0,440.0,440.0,[440],34.0,34.0,34.0,[34],5.0,5,5,[5],5.0,5,5,[5],7389.0,1542.0,8399.0,,,561499.0,236220.0,813319.0,,,1.0,HEART OF CVIL WAR HRITG AREA I,HEART OF CVIL WAR HRITG AREA I,,heartofthecivilwar.org,113958729,113958729,,1,1,,1
THE ALABASTER BOX,2312 S 5TH ST ALLENTOWN PA 18103,PA,ALLENTOWN,p1_mer_624ce82a3f7451695832947,THE BERTSCH GROUP LLC,2312 S 5TH ST ALLENTOWN PA 18103,PA,ALLENTOWN,15,0,0,10,10,10,15,1,THE ALABASTER BOX,29931271,PA,ALLENTOWN,18103,2312 S 5TH ST ALLENTOWN PA 18103,2024/02/01,1,[29931271],1,0,0,0,[null],[40.5761],[-75.45518],40.5761,-75.45518,0,1,0,1,0,0,0,0,0,1,2003.0,2003.0,[2003],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,[null],2,176,Corporate Sales,MDL,458.0,458.0,458.0,[458],39.0,39.0,39.0,[39],1.0,1,1,[1],1.0,1,1,[1],8299.0,,,,,611699.0,611519.0,,,,64.0,THE ALABASTER BOX,THE ALABASTER BOX,,,29931271,29931271,,15,15,,1
NORTH RALEIGH PERSONAL STORAGE,5508 OTTERS RUN CT RALEIGH NC 27609,NC,RALEIGH,p1_mer_65149d9a0f2b76cf363e5ef,NORTH RALEIGH PERSONAL STORAGE LLC,5508 OTTERS RUN CT RALEIGH NC 27609,NC,RALEIGH,4,0,0,10,10,10,26,1,NORTH RALEIGH PERSONAL STORAGE,2917495,NC,RALEIGH,27609,5508 OTTERS RUN CT RALEIGH NC 27609,2024/02/01,1,[2917495],1,0,0,0,[null],[35.8578],[-78.5993],35.8578,-78.5993,0,1,0,1,0,0,0,0,0,0,1984.0,1984.0,[1984],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,[8],9,647,Corporate Sales,MDL,453.0,453.0,453.0,[453],37.0,37.0,37.0,[37],5.0,5,5,[5],5.0,5,5,[5],4225.0,4200.0,4226.0,4493.0,4221.0,531130.0,713930.0,493130.0,493110.0,,1.0,NORTH RALEIGH PERSONAL STORAGE,NORTH RALEIGH PERSONAL STORAGE,,beststoragerates.com,2917495,2917495,,2,2,,1
PARADISE LANDSCAPING LLC,717 MOUNT LEBANON RD WILMINGTON DE 19803,DE,WILMINGTON,p1_mer_6013531fafb4f89060b292c,PARADISE LANDSCAPING LLC,717 MOUNT LEBANON RD WILMINGTON DE 19803,DE,WILMINGTON,0,10,0,10,10,10,40,1,PARADISE LANDSCAPING LLC,113992824,DE,WILMINGTON,19803,717 MOUNT LEBANON RD WILMINGTON DE 19803,2023/03/01,1,[113992824],1,0,0,0,[null],[39.80145],[-75.56301],39.80145,-75.56301,1,0,1,1,0,0,0,0,0,0,2013.0,2013.0,[2013],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,[2],3,83,Corporate Sales,MDL,498.0,498.0,498.0,[498],60.0,60.0,60.0,[60],5.0,5,5,[5],5.0,5,5,[5],782.0,781.0,783.0,,,541320.0,,,,,1.0,PARADISE LANDSCAPING LLC,PARADISE LANDSCAPING LLC,,www.paradise-landscaping.net,113992824,113992824,,10,10,,1
SCOTSTOR,152 SAWYER TOWN RD MOYOCK NC 27958,NC,MOYOCK,p1_mer_628fe4d40d589e132c2948d,SCOTSTOR INC,152 SAWYER TOWN RD MOYOCK NC 27958,NC,MOYOCK,4,0,0,10,10,10,26,1,SCOTSTOR,149352840,NC,MOYOCK,27958,152 SAWYER TOWN RD MOYOCK NC 27958,2024/02/01,1,[149352840],1,0,0,0,[null],[36.52029],[-76.16771],36.52029,-76.16771,0,1,0,1,0,0,0,0,0,0,2011.0,2011.0,[2011],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,[1],5,77,Corporate Sales,MDL,449.0,449.0,449.0,[449],36.0,36.0,36.0,[36],5.0,5,5,[5],5.0,5,5,[5],4226.0,4225.0,,,,493190.0,531130.0,,,,1.0,SCOT-STOR,SCOT-STOR,,www.scotstor.com,149352840,149352840,,2,2,,1
